,0,1,2,3,4,5,6,7,8,9,10
53,10191428.0,2020-12-04,24198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,10191428.0,2020-12-05,27318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,10191428.0,2020-12-06,23652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,10191428.0,2020-12-07,25608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,10191428.0,2020-12-08,23370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,10191428.0,2020-12-09,20958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,10191428.0,2020-12-10,10554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,10382411.0,2020-12-25,16920.0,2.0,84.0,2.0,0.0,0.0,0.0,1.0,131.3999939
62,10382411.0,2020-12-26,18330.0,2.0,59.0,4.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,10382411.0,2020-12-30,9546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,10382411.0,2020-12-31,4488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,10382411.0,2021-01-01,18342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,10382411.0,2021-01-02,17208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
